2009, 24.6
2010, 24.9
2011, 24.6
2012, 24.4
2013, 23.8
2014, 23.0
2015, 21.8
2016, 21.2
2017, 21.0
2018, 22.2
2019, 22.9
2020, 23.6
2021, 23.6
2022, 24.2
2023, 24.4
1111, 11.1
2009, 24.6
2010, 24.9
2011, 24.6
2012, 24.4
2013, 23.8
2014, 23.0
2015, 21.8
2016, 21.2
2017, 21.0
2018, 22.2
2019, 22.9
2020, 23.6
2021, 23.6
2022, 24.2
2023, 24.4
